iter	Passed	Remaining
892	344073	41227
893	344434	40838
894	344808	40452
895	345186	40066
896	345528	39676
897	345860	39284
898	346188	38893
899	346491	38499
900	346806	38106
901	347125	37714
902	347460	37324
903	347778	36932
904	348110	36542
905	348430	36150
906	348730	35757
907	349044	35365
908	349360	34974
909	349663	34582
910	349945	34187
911	350237	33794
912	350512	33400
913	350794	33006
914	351094	32615
915	351380	32222
916	351656	31829
917	351959	31438
918	352251	31047
919	352554	30656
920	352858	30266
921	353178	29878
922	353501	29490
923	353812	29101
924	354139	28713
925	354443	28324
926	354740	27935
927	355035	27545
928	355318	27155
929	355596	26765
930	355890	26376
931	356183	25987
932	356467	25598
933	356741	25208
934	357056	24822
935	357378	24436
936	357688	24049
937	358010	23663
938	358360	23280
939	358716	22896
940	359040	22511
941	359389	22128
942	359721	21743
943	360046	21358
944	360375	20974
945	360703	20589
946	361019	20204
947	361352	19821
948	361676	19436
949	362003	19052
950	362332	18669
951	362642	18284
952	362955	17900
953	363268	17516
954	363603	17133
955	363908	16748
956	364248	16366
957	364593	15984
958	364916	15601
959	365247	15218
960	365549	14835
961	365861	14451
962	366157	14068
963	366442	13684
964	366727	13301
965	367031	12918
966	367322	12535
967	367614	12152
968	367908	11770
969	368224	11388
970	368525	11006
971	368816	10624
972	369135	10243
973	369448	9862
974	369755	9480
975	370072	9100
976	370368	8719
977	370676	8338
978	370997	7958
979	371299	7577
980	371599	7197
981	371925	6817
982	372240	6437
983	372535	6057
984	372830	5677
985	373149	5298
986	373481	4919
987	373803	4540
988	374186	4161
989	374533	3783
990	374856	3404
991	375185	3025
992	375504	2647
993	375827	2268
994	376175	1890
995	376506	1512
996	376828	1133
997	377185	755
998	377522	377
999	377871	0
